day,month,year,continentExp,Country,cases,deaths,Doses administered per 100 people,Total doses administered,% of population vaccinated
14,7,2020,Asia,Afghanistan,4,2,33,12526397,30.0
13,7,2020,Asia,Afghanistan,0,0,33,12526397,30.0
12,7,2020,Asia,Afghanistan,85,16,33,12526397,30.0
11,7,2020,Asia,Afghanistan,458,37,33,12526397,30.0
10,7,2020,Asia,Afghanistan,255,20,33,12526397,30.0
9,7,2020,Asia,Afghanistan,59,1,33,12526397,30.0
8,7,2020,Asia,Afghanistan,210,16,33,12526397,30.0
7,7,2020,Asia,Afghanistan,433,56,33,12526397,30.0
6,7,2020,Asia,Afghanistan,279,38,33,12526397,30.0
5,7,2020,Asia,Afghanistan,348,7,33,12526397,30.0
4,7,2020,Asia,Afghanistan,302,12,33,12526397,30.0
3,7,2020,Asia,Afghanistan,186,33,33,12526397,30.0
2,7,2020,Asia,Afghanistan,319,28,33,12526397,30.0
1,7,2020,Asia,Afghanistan,279,13,33,12526397,30.0
30,6,2020,Asia,Afghanistan,271,12,33,12526397,30.0
29,6,2020,Asia,Afghanistan,351,18,33,12526397,30.0
28,6,2020,Asia,Afghanistan,165,20,33,12526397,30.0
27,6,2020,Asia,Afghanistan,276,8,33,12526397,30.0
26,6,2020,Asia,Afghanistan,460,36,33,12526397,30.0
25,6,2020,Asia,Afghanistan,234,21,33,12526397,30.0
24,6,2020,Asia,Afghanistan,338,20,33,12526397,30.0
23,6,2020,Asia,Afghanistan,310,17,33,12526397,30.0
22,6,2020,Asia,Afghanistan,409,12,33,12526397,30.0
21,6,2020,Asia,Afghanistan,546,21,33,12526397,30.0
20,6,2020,Asia,Afghanistan,346,2,33,12526397,30.0
19,6,2020,Asia,Afghanistan,658,42,33,12526397,30.0
18,6,2020,Asia,Afghanistan,564,13,33,12526397,30.0
17,6,2020,Asia,Afghanistan,783,13,33,12526397,30.0
16,6,2020,Asia,Afghanistan,761,7,33,12526397,30.0
15,6,2020,Asia,Afghanistan,664,20,33,12526397,30.0
14,6,2020,Asia,Afghanistan,556,5,33,12526397,30.0
13,6,2020,Asia,Afghanistan,656,20,33,12526397,30.0
12,6,2020,Asia,Afghanistan,747,21,33,12526397,30.0
